Name	LATITUDE_S	LONGITUDE_	Length	AV_RGH_IRI	ALLVEHS_AA	TRUCKS_AAD	Name_2	LATITUDE_S_2	LONGITUDE__2	Length_2	AV_RGH_IRI_2	ALLVEHS_AA_2	TRUCKS_AAD_2	closestWindex	rainfall	Above_30_days	Above_37_5_days	dayspassed	ALLVEHS_AA_avg	TRUCKS_AAD_avg	IRI_increase
2000_F_2219_2320_19-01-2012_1	-37.85068	145.050261	101	2.465	82000	7900	2000_F_2200_2300_07-02-2014_1	-37.85062	145.05018	100	2.52	82000	7900	86304	1226.9	75	12	750	82000	7900	0.0550000000000002
2000_F_17854_17955_19-01-2012_1	-37.927752	145.183203	101	0.815	85000	8100	2000_F_17800_17900_07-02-2014_1	-37.927815	145.183285	100	0.83	85000	8100	86111	1517.8	75	12	750	85000	8100	0.015
2000_F_17652_17753_19-01-2012_1	-37.926455	145.181578	101	0.67	85000	8100	2000_F_17600_17700_07-02-2014_1	-37.926537	145.18168	100	0.715	85000	8100	86111	1517.8	75	12	750	85000	8100	0.0449999999999999
2000_F_3429_3530_19-01-2012_1	-37.858266	145.059018	101	2.12	83000	9000	2000_F_3400_3500_07-02-2014_1	-37.858126	145.058969	100	2.35	83000	9000	86018	1500.4	75	12	750	83000	9000	0.23
2000_R_26310_26410_19-01-2012_1	-37.885876	145.102149	100	1.07	88000	9500	2000_R_26300_26400_07-02-2014_1	-37.885868	145.102281	100	1.095	88000	9500	86088	1547.6	75	12	750	88000	9500	0.0249999999999999
2000_R_21891_21992_19-01-2012_1	-37.897993	145.14867	101	0.815	88000	10000	2000_R_21900_22000_07-02-2014_1	-37.897992	145.148675	100	0.955	88000	10000	86303	1837.5	75	12	750	88000	10000	0.14
2000_R_24402_24502_19-01-2012_1	-37.892024	145.122042	100	0.725	92000	8800	2000_R_24400_24500_07-02-2014_1	-37.892033	145.12212	100	0.74	92000	8800	86088	1547.6	75	12	750	92000	8800	0.015
2000_R_17172_17272_19-01-2012_1	-37.929281	145.184563	100	0.88	84000	8000	2000_R_17200_17300_07-02-2014_1	-37.929217	145.184497	100	0.905	84000	8000	86111	1517.8	75	12	750	84000	8000	0.025
2000_R_28118_28218_19-01-2012_1	-37.879101	145.083934	100	1.335	85000	9100	2000_R_28100_28200_07-02-2014_1	-37.879181	145.084078	100	1.425	85000	9100	86088	1547.6	75	12	750	85000	9100	0.0900000000000001
2000_R_19281_19381_19-01-2012_1	-37.91539	145.168323	100	0.745	84000	8000	2000_R_19300_19400_07-02-2014_1	-37.91535	145.168287	100	0.87	84000	8000	86111	1517.8	75	12	750	84000	8000	0.125
2000_R_26511_26611_19-01-2012_1	-37.885511	145.099916	100	1.02	88000	9500	2000_R_26500_26600_07-02-2014_1	-37.885527	145.100047	100	1.135	88000	9500	86088	1547.6	75	12	750	88000	9500	0.115
2000_R_301_401_19-01-2012_1	-38.028497	145.321099	100	1	43000	3800	2000_R_300_400_07-02-2014_1	-38.028476	145.321085	100	1.055	43000	3800	86224	1716.2	75	12	750	43000	3800	0.0549999999999999
2000_R_15565_15665_19-01-2012_1	-37.939547	145.197426	100	0.705	76000	6400	2000_R_15600_15700_07-02-2014_1	-37.939448	145.197307	100	0.79	76000	6400	86111	1517.8	75	12	750	76000	6400	0.0850000000000001
2000_R_29825_29925_19-01-2012_1	-37.874665	145.066476	100	0.845	85000	9100	2000_R_29800_29900_07-02-2014_1	-37.87481	145.066605	100	0.94	85000	9100	86018	1500.4	75	12	750	85000	9100	0.095
2000_R_19381_19481_19-01-2012_1	-37.914687	145.16761	100	0.775	84000	8000	2000_R_19400_19500_07-02-2014_1	-37.914644	145.16758	100	0.795	84000	8000	86111	1517.8	75	12	750	84000	8000	0.02
